targetId,diseaseId,novelty,datatypeId,datasourceId,therapeuticAreaName,diseaseName,targetBiotype,targetSymbol
ENSG00000176533,DOID_7551,0.413,literature,europepmc,infectious disease,gonorrhea,protein_coding,GNG7
ENSG00000163507,DOID_7551,0.444,literature,europepmc,infectious disease,gonorrhea,protein_coding,CIP2A
ENSG00000100410,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,PHF5A
ENSG00000049540,DOID_7551,0.483,literature,europepmc,infectious disease,gonorrhea,protein_coding,ELN
ENSG00000147202,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,DIAPH2
ENSG00000166689,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,PLEKHA7
ENSG00000115355,DOID_7551,0.588,literature,europepmc,infectious disease,gonorrhea,protein_coding,CCDC88A
ENSG00000172893,DOID_7551,0.555,literature,europepmc,infectious disease,gonorrhea,protein_coding,DHCR7
ENSG00000153317,DOID_7551,0.467,literature,europepmc,infectious disease,gonorrhea,protein_coding,ASAP1
ENSG00000140092,DOID_7551,0.576,literature,europepmc,infectious disease,gonorrhea,protein_coding,FBLN5
ENSG00000184588,DOID_7551,0.543,literature,europepmc,infectious disease,gonorrhea,protein_coding,PDE4B
ENSG00000198363,DOID_7551,0.448,literature,europepmc,infectious disease,gonorrhea,protein_coding,ASPH
ENSG00000134294,DOID_7551,0.506,literature,europepmc,infectious disease,gonorrhea,protein_coding,SLC38A2
ENSG00000165588,DOID_7551,0.474,literature,europepmc,infectious disease,gonorrhea,protein_coding,OTX2
ENSG00000156510,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,HKDC1
ENSG00000121413,DOID_7551,0.588,literature,europepmc,infectious disease,gonorrhea,protein_coding,ZSCAN18
ENSG00000164484,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,TMEM200A
ENSG00000151748,DOID_7551,0.517,literature,europepmc,infectious disease,gonorrhea,protein_coding,SAV1
ENSG00000113916,DOID_7551,0.465,literature,europepmc,infectious disease,gonorrhea,protein_coding,BCL6
ENSG00000113196,DOID_7551,0.543,literature,europepmc,infectious disease,gonorrhea,protein_coding,HAND1
ENSG00000069869,DOID_7551,0.583,literature,europepmc,infectious disease,gonorrhea,protein_coding,NEDD4
ENSG00000144891,DOID_7551,0.55,literature,europepmc,infectious disease,gonorrhea,protein_coding,AGTR1
ENSG00000143367,DOID_7551,0.681,literature,europepmc,infectious disease,gonorrhea,protein_coding,TUFT1
ENSG00000157510,DOID_7551,0.537,literature,europepmc,infectious disease,gonorrhea,protein_coding,AFAP1L1
ENSG00000151892,DOID_7551,0.507,literature,europepmc,infectious disease,gonorrhea,protein_coding,GFRA1
ENSG00000136448,DOID_7551,0.537,literature,europepmc,infectious disease,gonorrhea,protein_coding,NMT1
ENSG00000035499,DOID_7551,0.449,literature,europepmc,infectious disease,gonorrhea,protein_coding,DEPDC1B
ENSG00000071082,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,RPL31
ENSG00000182325,DOID_7551,0.597,literature,europepmc,infectious disease,gonorrhea,protein_coding,FBXL6
ENSG00000151632,DOID_7551,0.451,literature,europepmc,infectious disease,gonorrhea,protein_coding,AKR1C2
ENSG00000198373,DOID_7551,0.455,literature,europepmc,infectious disease,gonorrhea,protein_coding,WWP2
ENSG00000170373,DOID_7551,0.579,literature,europepmc,infectious disease,gonorrhea,protein_coding,CST1
ENSG00000180370,DOID_7551,0.424,literature,europepmc,infectious disease,gonorrhea,protein_coding,PAK2
ENSG00000047230,EFO_0000095,0.597,literature,europepmc,cancer or benign tumor,chronic lymphocytic leukemia,protein_coding,CTPS2
ENSG00000012048,EFO_0000095,0.537,literature,europepmc,cancer or benign tumor,chronic lymphocytic leukemia,protein_coding,BRCA1
ENSG00000197635,EFO_0000095,0.448,literature,europepmc,cancer or benign tumor,chronic lymphocytic leukemia,protein_coding,DPP4
ENSG00000135046,EFO_0000174,0.597,literature,europepmc,cancer or benign tumor,Ewing sarcoma,protein_coding,ANXA1
ENSG00000139083,EFO_0000174,0.586,literature,europepmc,cancer or benign tumor,Ewing sarcoma,protein_coding,ETV6
ENSG00000077152,EFO_0000174,0.454,literature,europepmc,cancer or benign tumor,Ewing sarcoma,protein_coding,UBE2T
ENSG00000012817,EFO_0000181,0.575,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,KDM5D
ENSG00000256980,EFO_0000181,0.597,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,KHDC1L
ENSG00000178999,EFO_0000181,0.444,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,AURKB
ENSG00000083444,EFO_0000181,0.568,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,PLOD1
ENSG00000183578,EFO_0000181,0.597,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,TNFAIP8L3
ENSG00000163435,EFO_0000181,0.441,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,ELF3
ENSG00000132109,EFO_0000181,0.425,literature,europepmc,cancer or benign tumor,head and neck squamous cell carcinoma,protein_coding,TRIM21
