drugId,drug,firstApprovalYear
CHEMBL22,TRIMETHOPRIM,1973
CHEMBL6995,PRACTOLOL,None
CHEMBL35,FUROSEMIDE,1966
CHEMBL5,NALIDIXIC ACID,1964
CHEMBL405,AMPHETAMINE,1955
CHEMBL407,FLUMAZENIL,1991
CHEMBL6622,ISOSORBIDE DINITRATE,1986
CHEMBL14,CARBACHOL,1972
CHEMBL409,BICALUTAMIDE,1995
CHEMBL42336,METHIONINE,None
CHEMBL843,ROSIGLITAZONE MALEATE,1999
CHEMBL895,NALBUPHINE,None
CHEMBL867,IOPANOIC ACID,1951
CHEMBL898,DIFLUNISAL,1982
CHEMBL44354,CEFTAZIDIME,1985
CHEMBL844,BRIMONIDINE,1996
CHEMBL469,KETOROLAC,1989
CHEMBL847,OXAMNIQUINE,1980
CHEMBL52440,DEXTROMETHORPHAN,1982
CHEMBL926,DOBUTAMINE,1978
CHEMBL46058,ETHYL CHLORIDE,None
CHEMBL878,METOLAZONE,1973
CHEMBL761,NAPHAZOLINE,1971
CHEMBL32800,FENOTEROL,None
CHEMBL880,FAMCICLOVIR,1994
CHEMBL839,CARTEOLOL,1988
CHEMBL865,VALDECOXIB,2001
CHEMBL969,PRAZEPAM,1982
CHEMBL1350,TILUDRONIC ACID,1997
CHEMBL1341,METHOXYFLURANE,None
CHEMBL1349,VALACYCLOVIR,1995
CHEMBL114,SAQUINAVIR,1995
CHEMBL779,TADALAFIL,2003
CHEMBL836,TAMSULOSIN,1997
CHEMBL290106,BITHIONOL,None
CHEMBL982,NALMEFENE,1995
CHEMBL742,KETAMINE,1970
CHEMBL862,GUANFACINE,1986
CHEMBL859,OXYPURINOL,None
CHEMBL509,MECLOFENAMIC ACID,1980
CHEMBL307145,PYROGALLOL,None
CHEMBL877,TRANEXAMIC ACID,1986
CHEMBL916,TIROFIBAN,1998
CHEMBL897,PROBENECID,1951
CHEMBL302795,TENOXICAM,None
CHEMBL787,MONTELUKAST,1998
CHEMBL946,AZATADINE,1977
CHEMBL306700,VILOXAZINE,2021
CHEMBL134,CLONIDINE,1974
CHEMBL408513,BELINOSTAT,2014
CHEMBL1259,METOCURINE,1982
CHEMBL421701,DITHIAZANINE IODIDE,None
CHEMBL419213,LISINOPRIL,1987
CHEMBL1092,TRIHEXYPHENIDYL HYDROCHLORIDE,1949
CHEMBL1643,RIBAVIRIN,1985
CHEMBL529888,GLIBORNURIDE,None
CHEMBL1708,PAROXETINE HYDROCHLORIDE,1992
CHEMBL515408,MARIBAVIR,2021
CHEMBL1599,CEPHAPIRIN,1974
CHEMBL517199,XIPAMIDE,None
CHEMBL1611,PHENYTOIN SODIUM,1956
CHEMBL810,TEMOZOLOMIDE,1999
CHEMBL811,BROMPHENIRAMINE,1957
CHEMBL827,DEXMETHYLPHENIDATE,None
CHEMBL768,ESMOLOL,1986
CHEMBL746,NEDOCROMIL,1992
CHEMBL753,PHENOXYBENZAMINE,1953
CHEMBL783,NATEGLINIDE,2000
CHEMBL606,MISOPROSTOL,1988
CHEMBL782,TOLBUTAMIDE,1961
CHEMBL808,ECONAZOLE,1982
CHEMBL812,PYRIDOSTIGMINE BROMIDE,1955
CHEMBL33986,BUTORPHANOL,1978
CHEMBL815,DINOPROST,1982
CHEMBL848,LENALIDOMIDE,2005
CHEMBL590,MENADIONE,None
CHEMBL605,PROCAINAMIDE HYDROCHLORIDE,1950
CHEMBL614,PYRAZINAMIDE,1971
CHEMBL46286,OMACETAXINE MEPESUCCINATE,2009
CHEMBL896,HYDROXYZINE,1956
CHEMBL902,FAMOTIDINE,1986
CHEMBL734,ACETOHYDROXAMIC ACID,1983
CHEMBL871,ETIDRONIC ACID,1977
CHEMBL48449,CANTHARIDIN,2023
CHEMBL917,FLOXURIDINE,1970
CHEMBL771,CYCLOSERINE,1964
CHEMBL46740,BAZEDOXIFENE,2009
CHEMBL777,CLAVULANIC ACID,1984
CHEMBL46917,CARBARIL,None
CHEMBL864,CARBINOXAMINE,2003
CHEMBL908,CHLORPROTHIXENE,1967
CHEMBL48582,SAFINAMIDE MESYLATE,2015
CHEMBL1314,TIOPRONIN,1988
CHEMBL1292,CLOFAZIMINE,1986
CHEMBL1278,NARATRIPTAN,1998
CHEMBL170,QUININE,2005
CHEMBL1337,NITISINONE,2002
CHEMBL1275,PERGOLIDE MESYLATE,1988
CHEMBL1293,BETA CAROTENE,None
CHEMBL159226,MOXISYLYTE,None
CHEMBL1316,CARPROFEN,1987
CHEMBL1345,GUANETHIDINE MONOSULFATE,1960
CHEMBL1535,HYDROXYCHLOROQUINE,1955
CHEMBL276520,INDALPINE,None
CHEMBL919,FOSPHENYTOIN SODIUM,1996
CHEMBL460,MOLINDONE,1974
CHEMBL799,CILOSTAZOL,1999
CHEMBL697,METHSUXIMIDE,1957
CHEMBL272427,TAURURSODIOL,2022
CHEMBL288470,AMINOPYRINE,None
CHEMBL295698,LEVOKETOCONAZOLE,2021
CHEMBL979,MEPROBAMATE,1955
CHEMBL957,BOSENTAN,2001
CHEMBL53,APOMORPHINE,2001
CHEMBL497,CLIOQUINOL,1982
CHEMBL971,PENTOBARBITAL SODIUM,1973
CHEMBL154,NAPROXEN,1976
CHEMBL291338,3,3',4',5-TETRACHLOROSALICYLANILIDE,None
CHEMBL289480,RILMENIDINE,1987
CHEMBL809,SERTRALINE,1991
CHEMBL942,BISACODYL,2004
CHEMBL807,MEMANTINE,2003
CHEMBL841,LOPERAMIDE,None
CHEMBL937,DIETHYLCARBAMAZINE CITRATE,1950
CHEMBL1505,ALMOTRIPTAN,2001
CHEMBL404849,SULOCTIDIL,1979
CHEMBL1538,TENOFOVIR DISOPROXIL,2001
CHEMBL408403,ANGIOTENSIN II,2017
CHEMBL1109,SULFAPHENAZOLE,1982
CHEMBL517712,ATROPINE,1960
CHEMBL508338,THIMEROSAL,None
CHEMBL522038,XIMELAGATRAN,None
CHEMBL518520,RALTEGRAVIR POTASSIUM,2007
CHEMBL506569,LANATOSIDE C,None
CHEMBL1555,GALANTAMINE HYDROBROMIDE,2001
CHEMBL1570,SULFOXONE,1982
CHEMBL1680,OCTREOTIDE,1988
CHEMBL1683,HYDROCORTISONE BUTYRATE,1982
CHEMBL516476,METHYLATROPINE NITRATE,None
CHEMBL521686,OLAPARIB,2014
CHEMBL1658,RETAPAMULIN,2007
CHEMBL529437,COCAINE HYDROCHLORIDE,2017
CHEMBL744,RILUZOLE,1995
CHEMBL671,THIOTEPA,1959
CHEMBL25202,TAMIBAROTENE,2005
CHEMBL650,METHYLPREDNISOLONE,1957
CHEMBL644,TRIMIPRAMINE,1979
CHEMBL726,FLUPHENAZINE,None
CHEMBL701,BACLOFEN,1977
CHEMBL684,DIETHYLCARBAMAZINE,1950
